Area,Centroid_1,Centroid_2,BoundingBox_1,BoundingBox_2,BoundingBox_3,BoundingBox_4,Eccentricity,Orientation,ConvexArea,EulerNumber,EquivDiameter,Extent,Perimeter,WeightedCentroid_1,WeightedCentroid_2,MeanIntensity,nuclei,meancents,class,ratio
4853,19.1784463218628,105.062847723058,0.5,38.5,49,158,0.961620071307742,83.6150488351314,5609,0,78.6068159296619,0.626840609661586,407.093,19.4406783625148,105.240320960723,0.92810045156999,1,0.000206058108386565,Mesenchymal,11.921108935796
190301,194.850909874357,447.792250172096,0.5,52.5,478,967,0.877285405301286,73.6492387150098,320051,-30,492.238517999807,0.411705529329808,5682.028,195.016748678663,448.079859941098,0.924386014951517,48,0.000252231990373146,Mesenchymal,33.4917392170542
1482,16.5087719298246,700.172739541161,0.5,667.5,40,60,0.873828856941912,-66.4652849797711,1743,1,43.4389342099632,0.6175,179.836,16.5315903879344,700.14063492711,0.966135310598072,1,0.000674763832658569,Mesenchymal,8.24084165573078
304,8.81907894736842,1077.26315789474,0.5,1064.5,23,21,0.795596585542755,-44.9137585055043,324,1,19.6739630374637,0.629399585921325,74.117,8.84706555252528,1077.26459466616,0.977187815937879,2,0.00657894736842105,Mesenchymal,4.1016231094081
2618,201.83269671505,14.5790679908327,153.5,0.5,101,33,0.945270761903128,0.806590211959712,2741,1,57.7350944237269,0.785478547854785,240.902,201.509373093715,14.7620175979529,0.93458870160904,0,0,Mesenchymal,10.867489684602
150881,551.249468123886,857.221207441626,157.5,664.5,719,421,0.8743784799426,-5.72556892699483,241413,-26,438.300873543718,0.498452257853511,4819.146,551.600005462209,857.820870191006,0.932627335923321,18,0.000119299315354485,Mesenchymal,31.308659252075
5019,272.529388324367,994.270173341303,221.5,955.5,111,76,0.823160147731275,-20.0691498202725,5827,1,79.9399104016622,0.594950213371266,340.818,272.620252980571,994.287881053778,0.937373585000814,2,0.00039848575413429,Mesenchymal,14.726334876679
339,267.666666666667,652.52802359882,256.5,642.5,22,20,0.528586760583328,-23.8682383271244,344,1,20.7756637839858,0.770454545454546,63.094,267.662338309067,652.531098745291,0.985481399588268,1,0.00294985250737463,Mesenchymal,5.37293561986877
2534,298.821625887924,260.143251775848,269.5,228.5,58,62,0.417422240956603,48.2415693997202,2645,1,56.8013116605497,0.704671857619577,185.462,298.970943815235,260.156203455325,0.933464520085784,1,0.000394632991318074,Mesenchymal,13.6631762840905
385,310.363636363636,452.467532467532,299.5,441.5,21,22,0.350872569102479,-85.2150699552938,387,1,22.1403980253978,0.833333333333333,67.262,310.365864469692,452.458990566957,0.986027517481923,1,0.0025974025974026,Mesenchymal,5.72388570069281
